data name: WN18RR
model name: MRAN
learning rate: 0.001
entity dimension: 400
relation dimension: 400
batch size: 128
decay rate: 1.0
label smoothing: 0.1
convolution parameters: {'input_dropout': 0.4, 'hidden_dropout': 0.4, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 48, 'filt_height': 2, 'filt_width': 7}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
785	5284.8	0.474	0.440	0.488	0.538	5105.4	0.476	0.444	0.490	0.538
790	5210.4	0.474	0.441	0.488	0.537	5105.4	0.476	0.444	0.490	0.538
795	5262.6	0.474	0.441	0.487	0.537	5105.4	0.476	0.444	0.490	0.538
800	5160.4	0.474	0.442	0.488	0.536	5105.4	0.476	0.444	0.490	0.538
805	5242.9	0.473	0.440	0.489	0.536	5105.4	0.476	0.444	0.490	0.538
810	5287.5	0.473	0.440	0.487	0.536	5105.4	0.476	0.444	0.490	0.538
815	5172.5	0.475	0.442	0.487	0.537	5105.4	0.476	0.444	0.490	0.538
820	5133.7	0.478	0.447	0.490	0.540	5105.4	0.478	0.447	0.490	0.540
825	5205.2	0.476	0.443	0.492	0.537	5105.4	0.478	0.447	0.492	0.540
830	5195.7	0.475	0.442	0.491	0.539	5105.4	0.478	0.447	0.492	0.540
835	5203.5	0.474	0.442	0.488	0.538	5105.4	0.478	0.447	0.492	0.540
840	5231.8	0.474	0.439	0.492	0.538	5105.4	0.478	0.447	0.492	0.540
845	5174.8	0.474	0.441	0.488	0.535	5105.4	0.478	0.447	0.492	0.540
850	5164.2	0.475	0.443	0.489	0.535	5105.4	0.478	0.447	0.492	0.540
855	5223.0	0.476	0.444	0.489	0.537	5105.4	0.478	0.447	0.492	0.540
860	5247.5	0.473	0.440	0.487	0.536	5105.4	0.478	0.447	0.492	0.540
865	5208.8	0.473	0.439	0.489	0.536	5105.4	0.478	0.447	0.492	0.540
870	5194.6	0.476	0.444	0.491	0.538	5105.4	0.478	0.447	0.492	0.540
875	5071.2	0.476	0.442	0.493	0.539	5071.2	0.478	0.447	0.493	0.540
880	5164.6	0.474	0.441	0.487	0.539	5071.2	0.478	0.447	0.493	0.540
885	5169.6	0.476	0.443	0.489	0.537	5071.2	0.478	0.447	0.493	0.540
890	5127.1	0.474	0.442	0.487	0.536	5071.2	0.478	0.447	0.493	0.540
895	5138.4	0.476	0.444	0.489	0.538	5071.2	0.478	0.447	0.493	0.540
900	5147.2	0.476	0.443	0.490	0.537	5071.2	0.478	0.447	0.493	0.540
905	5074.1	0.475	0.443	0.487	0.537	5071.2	0.478	0.447	0.493	0.540
910	5247.1	0.475	0.443	0.491	0.537	5071.2	0.478	0.447	0.493	0.540
915	5165.0	0.474	0.440	0.490	0.536	5071.2	0.478	0.447	0.493	0.540
920	5170.4	0.474	0.440	0.488	0.538	5071.2	0.478	0.447	0.493	0.540
925	5211.3	0.473	0.440	0.489	0.537	5071.2	0.478	0.447	0.493	0.540
930	5210.9	0.474	0.441	0.489	0.535	5071.2	0.478	0.447	0.493	0.540
935	5162.5	0.478	0.446	0.491	0.540	5071.2	0.478	0.447	0.493	0.540
940	5161.7	0.476	0.445	0.488	0.538	5071.2	0.478	0.447	0.493	0.540
945	5131.3	0.476	0.444	0.490	0.541	5071.2	0.478	0.447	0.493	0.541
950	5126.3	0.477	0.445	0.490	0.542	5071.2	0.478	0.447	0.493	0.542
955	5147.0	0.476	0.444	0.491	0.538	5071.2	0.478	0.447	0.493	0.542
960	5258.9	0.476	0.444	0.489	0.537	5071.2	0.478	0.447	0.493	0.542
965	5216.5	0.475	0.442	0.491	0.538	5071.2	0.478	0.447	0.493	0.542
970	5216.9	0.477	0.444	0.490	0.539	5071.2	0.478	0.447	0.493	0.542
975	5180.6	0.478	0.446	0.492	0.538	5071.2	0.478	0.447	0.493	0.542
980	5086.5	0.479	0.447	0.492	0.538	5071.2	0.479	0.447	0.493	0.542
985	5179.9	0.476	0.445	0.490	0.542	5071.2	0.479	0.447	0.493	0.542
990	5249.8	0.474	0.441	0.489	0.543	5071.2	0.479	0.447	0.493	0.543
995	5148.8	0.475	0.441	0.488	0.539	5071.2	0.479	0.447	0.493	0.543
1000	5131.6	0.477	0.446	0.490	0.538	5071.2	0.479	0.447	0.493	0.543
